what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449497483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449499894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449505576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449521520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1363449525003
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363449540864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449541778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449542792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449542815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363449542907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449542925
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363449543738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449548121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449550210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449550569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449555131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1363449558454
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363449569435
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363449569469
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1363449569490
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363449578006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.upperCase",1363449583913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449592370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449595794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449595821
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1363449596984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449597005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449602474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449607502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1363449611994
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363449620466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449623032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363449626459
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1363449638578
